case,minlp_time,misoc_time,lp_time,lp_gap,misoc_gap
nomination_cold_242,2.15,0.34,0.26,0.0,0.0
nomination_cold_2422,7.95,0.49,0.28,0.0,0.0
nomination_cold_2423,15.05,0.29,0.28,0.0,0.0
nomination_cold_2425,3.69,0.33,0.32,0.0,0.0
nomination_cold_2430,12.14,0.36,0.27,0.0,0.0
nomination_cold_2432,22.16,0.37,0.15,0.0,0.0
nomination_cold_2433,2.69,0.42,0.17,0.0,0.0
nomination_cold_2436,15.41,0.32,0.25,0.0,0.0
nomination_cold_2437,5.65,0.38,0.16,0.0,0.0
nomination_cold_2438,2.11,0.38,0.29,0.0,0.0
nomination_cold_2439,7.75,0.25,0.16,0.0,0.0
nomination_cold_2441,6.45,0.39,0.26,0.0,0.0
nomination_cold_2442,17.18,0.33,0.27,0.0,0.0
nomination_cold_2445,6.51,0.37,0.18,0.0,0.0
nomination_cold_2446,4.27,0.33,0.24,0.0,0.0
nomination_cold_2447,3.2,0.35,0.19,0.0,0.0
nomination_cold_2452,5.43,0.35,0.27,0.0,0.0
nomination_cold_2454,7.65,0.35,0.19,0.0,0.0
nomination_cold_2464,2.57,0.3,0.31,0.0,0.0
nomination_cold_2468,6.16,0.29,0.29,0.0,0.0
nomination_cold_2475,12.84,0.34,0.16,0.0,0.0
nomination_cold_2477,1.48,0.35,0.31,0.0,0.0
nomination_cold_2478,48.08,0.42,0.32,0.0,0.0
nomination_cold_2486,0.28,0.29,0.28,0.0,0.0
nomination_cold_2494,2.0,0.37,0.25,0.0,0.0
nomination_cold_2501,0.35,0.23,0.28,0.0,0.0
nomination_cold_2503,8.11,0.43,0.16,0.0,0.0
nomination_cold_2504,12.18,0.41,0.19,0.0,0.0
nomination_cold_2505,14.28,0.4,0.29,0.0,0.0
nomination_cold_2506,2.05,0.28,0.16,0.0,0.0
nomination_cold_2510,2.58,0.43,0.32,0.0,0.0
nomination_cold_2511,4.43,0.36,0.31,0.0,0.0
nomination_cold_2516,4.02,0.33,0.26,0.0,0.0
nomination_cold_2519,9.22,0.26,0.15,0.0,0.0
nomination_cold_252,5.28,0.26,0.26,0.0,0.0
nomination_cold_2528,1.69,0.3,0.17,0.0,0.0
nomination_cold_2530,6.31,0.24,0.29,0.0,0.0
nomination_cold_2538,1.39,0.32,0.26,0.0,0.0
nomination_cold_2542,5.35,0.33,0.36,0.0,0.0
nomination_cold_2543,7.84,0.37,0.3,0.0,0.0
