case,minlp_time,misoc_time,lp_time
nomination_hot_0429,1000.0,25.93,2.82
nomination_hot_0476,1000.0,864.0,3.44
nomination_hot_0500,1000.0,9.43,2.98
nomination_hot_0512,1000.0,8.12,3.06
nomination_hot_0517,1000.0,6.95,2.71
nomination_hot_0570,1000.0,27.41,2.98
nomination_hot_0579,1000.0,38.65,2.96
nomination_hot_0610,1000.0,38.38,3.36
nomination_hot_0616,1000.0,1000.45,4.21
nomination_hot_0669,1000.0,1001.04,3.11
nomination_hot_0672,1000.0,27.27,2.87
nomination_hot_0708,1000.0,1001.03,3.17
nomination_hot_0722,1000.0,1002.19,3.25
nomination_hot_0729,1000.0,11.31,3.05
nomination_hot_0740,1000.0,7.58,3.1
nomination_hot_0760,1000.0,894.5,2.93
nomination_hot_0773,1000.0,23.25,3.38
nomination_hot_0774,1000.0,1000.22,3.1
nomination_hot_0776,1000.0,41.21,3.45
nomination_hot_0777,1000.0,374.9,2.94
nomination_hot_0829,1000.0,32.67,2.84
nomination_hot_0835,1000.0,6.95,3.38
nomination_hot_0898,1000.0,1000.34,2.87
nomination_hot_0965,1000.0,11.04,3.07
nomination_hot_0966,1000.0,10.97,3.81
nomination_hot_0981,1000.0,5.87,2.86
nomination_hot_0985,1000.0,39.54,2.91
nomination_hot_1031,1000.0,8.83,3.01
nomination_hot_1041,1000.0,35.08,3.49
nomination_hot_1046,1000.0,8.49,3.07
nomination_hot_1095,1000.0,25.09,3.44
nomination_hot_1141,1000.0,46.15,3.21
nomination_hot_1153,1000.0,1000.17,2.54
nomination_hot_1166,1000.0,31.42,2.71
nomination_hot_1178,1000.0,37.99,3.0
nomination_hot_1184,1000.0,34.81,2.62
nomination_hot_1322,1000.0,46.58,2.99
nomination_hot_1324,1000.0,44.44,3.67
nomination_hot_1332,1000.0,1000.42,2.85
nomination_hot_1339,1000.0,31.77,2.93
nomination_hot_1351,1000.0,10.94,2.95
nomination_hot_1355,1000.0,10.8,2.92
nomination_hot_1368,1000.0,1000.48,3.15
nomination_hot_1397,1000.0,28.54,3.36
nomination_hot_1476,1000.0,16.93,3.03
nomination_hot_1480,1000.0,1000.43,3.4
nomination_hot_1514,1000.0,33.91,2.97
nomination_hot_1523,1000.0,30.34,3.05
nomination_hot_1535,1000.0,39.44,3.11
nomination_hot_1540,1000.0,10.13,3.77
nomination_hot_1566,1000.0,24.09,2.72
nomination_hot_1587,1000.0,10.33,3.46
nomination_hot_1590,1000.0,36.27,3.12
nomination_hot_1620,1000.0,34.97,2.98
nomination_hot_1635,1000.0,32.58,2.94
nomination_hot_1648,1000.0,35.28,2.65
nomination_hot_1685,1000.0,35.54,3.1
nomination_hot_1723,1000.0,24.53,3.46
nomination_hot_1725,1000.0,24.97,2.78
nomination_hot_1728,1000.0,35.06,2.75
nomination_hot_1744,1000.0,23.8,3.04
nomination_hot_1750,1000.0,8.82,3.2
nomination_hot_1777,1000.0,44.1,3.11
nomination_hot_1801,1000.0,9.07,3.19
nomination_hot_1826,1000.0,9.93,3.34
nomination_hot_1829,1000.0,659.01,3.16
nomination_hot_1868,1000.0,29.16,2.81
nomination_hot_1907,1000.0,10.69,2.99
nomination_hot_1935,1000.0,10.4,2.97
nomination_hot_1954,1000.0,6.55,2.77
nomination_hot_1962,1000.0,30.72,2.97
nomination_hot_1988,1000.0,7.82,2.82
nomination_hot_2055,1000.01,48.98,2.91
nomination_hot_2061,1000.0,6.62,3.16
nomination_hot_2062,1000.0,7.12,2.86
nomination_hot_2075,1000.0,24.34,3.21
nomination_hot_2082,1000.0,32.09,2.87
nomination_hot_2131,1000.09,554.82,3.05
nomination_hot_2162,1000.0,10.71,3.35
nomination_hot_2188,1000.0,35.42,3.02
nomination_hot_2190,1000.0,33.04,2.79
nomination_hot_2207,1000.0,54.16,2.76
nomination_hot_2225,1000.0,27.31,2.73
nomination_hot_2236,1000.0,8.42,2.98
nomination_hot_2318,1000.0,9.04,2.83
nomination_hot_2321,1000.0,8.43,2.8
nomination_hot_2366,1000.0,12.56,2.94
nomination_hot_2368,1000.0,6.37,2.87
nomination_hot_2421,1000.0,761.17,3.09
nomination_hot_2424,1000.0,12.41,3.03
nomination_hot_2448,1000.0,303.13,2.9
nomination_hot_2470,1000.0,28.96,2.79
nomination_hot_2506,1000.0,42.9,2.7
nomination_hot_2511,1000.0,7.15,2.95
nomination_hot_2571,1000.0,8.12,3.21
nomination_hot_2593,1000.0,40.19,3.24
nomination_hot_2621,1000.0,27.93,2.65
nomination_hot_2634,1000.0,32.23,2.87
nomination_hot_2645,1000.0,7.51,3.52
nomination_hot_2647,1000.0,48.36,3.01
nomination_hot_2701,1000.0,1000.97,2.58
nomination_hot_2728,1000.0,27.18,2.84
nomination_hot_2732,1000.0,29.29,2.77
nomination_hot_2735,1000.0,38.61,2.87
nomination_hot_2740,1000.0,8.35,3.03
nomination_hot_2757,1000.0,20.8,3.03
nomination_hot_2786,1000.0,33.89,2.75
nomination_mild_0286,1000.0,42.95,2.82
nomination_mild_0294,1000.0,8.75,2.66
nomination_mild_0337,1000.0,41.12,2.88
nomination_mild_0392,1000.0,11.7,2.45
nomination_mild_0403,1000.0,7.09,3.31
nomination_mild_0440,1000.0,1000.81,2.53
nomination_mild_0580,1000.0,9.16,2.74
nomination_mild_0614,1000.0,10.55,2.94
nomination_mild_0665,1000.0,10.93,2.77
nomination_mild_0904,1000.0,12.24,2.75
nomination_mild_0920,1000.0,13.54,3.1
nomination_mild_0958,1000.0,10.75,2.47
nomination_mild_1077,1000.0,15.01,2.65
nomination_mild_1110,1000.0,8.21,2.72
nomination_mild_1147,1000.0,10.9,2.54
nomination_mild_1149,1000.01,7.85,2.64
nomination_mild_1150,1000.04,11.12,2.78
nomination_mild_1173,1000.0,8.65,2.76
nomination_mild_1219,1000.0,7.56,2.97
