ideal,simple_cnga,full_cnga
2.7286392612514265e-6,2.5575932734300877e-6,2.5754583726121506e-6
2.620859436637462e-6,2.479105046882712e-6,2.493946884953533e-6
3.188580987987707e-6,2.5638957077451843e-6,2.6248193454141458e-6
2.9932043415476313e-6,2.6847959978108035e-6,2.7165268827726445e-6
5.907572634823497e-10,4.5990842571149313e-10,4.724024689814223e-10
5.954126444834195e-10,4.435338164479929e-10,4.5775023699162717e-10
5.927374990708277e-10,4.535952339059863e-10,4.667684184557991e-10
5.929997509638987e-10,4.5256774625854233e-10,4.659398969589248e-10
5.602917688296788e-10,4.93734565912123e-10,5.006923156670153e-10
5.962237605488721e-10,4.4047863055798203e-10,4.548627295055377e-10
5.865029974832556e-10,4.706138147975304e-10,4.818939514575696e-10
5.575833873963664e-10,4.939197767445981e-10,5.004797822553459e-10
5.838420705865281e-10,4.755260902454317e-10,4.861367674408904e-10
5.726616842265377e-10,4.886667387855954e-10,4.972058454197505e-10
5.230424233551062e-10,4.837749314154383e-10,4.87885845524321e-10
5.59454454484941e-10,4.939920822668753e-10,5.00463562979014e-10
5.935290648253733e-10,4.5085150338486185e-10,4.64281425395737e-10
5.74950179541036e-10,4.86933649847113e-10,4.957666859324397e-10
5.469778992784025e-10,4.93193076736431e-10,4.986742541739056e-10
5.797834174542783e-10,4.817426246306072e-10,4.915383948972982e-10
5.731756153381589e-10,4.884165710195008e-10,4.971052909793626e-10
5.929690903402092e-10,4.5305420675694074e-10,4.662650282724539e-10
5.923019406684498e-10,4.5534188233088335e-10,4.682703455008771e-10
5.245725858709827e-10,4.844637549727382e-10,4.886921592935269e-10
1.76691532933587e-8,1.3099153764525347e-8,1.3524011341099484e-8
1.6454646728174432e-8,1.4650483924596395e-8,1.48356786057548e-8
4.096747033435047e-9,4.032275338222302e-9,4.03856867951437e-9
1.7535510849805837e-8,1.3580774944487173e-8,1.3958401128640545e-8
1.747477693088726e-8,1.375200829303544e-8,1.411079089853638e-8
1.6857771379585706e-8,1.4568261668696545e-8,1.4800051729833227e-8
1.3335091868331211e-8,1.2746697622701617e-8,1.2808809813181902e-8
7.163840464875924e-9,7.018972518724068e-9,7.032618191645162e-9
1.7714805634398165e-8,1.2892765695553997e-8,1.3335827600578655e-8
1.7394434675082975e-8,1.3942354863864933e-8,1.427851728590193e-8
1.7692566883422517e-8,1.2995953204123918e-8,1.3430170319872478e-8
1.7164658227140602e-8,1.4318357832122046e-8,1.4601558959116541e-8
1.6791469261539083e-8,1.4597090576935153e-8,1.4819993234661052e-8
1.715480394505802e-8,1.4330132061903015e-8,1.4611487361087173e-8
1.5139504543984157e-9,1.4987839455201777e-9,1.5006900189344747e-9
1.64570830134839e-8,1.4650436934955712e-8,1.4835744225287951e-8
1.7408005890998147e-8,1.3912700905464157e-8,1.4252594937228858e-8
1.667546657573208e-8,1.4631189879593026e-8,1.483961265362488e-8
1.7175177081690733e-8,1.4305591851280064e-8,1.4590931717561413e-8
1.7660159951470348e-8,1.3136803931251331e-8,1.3558169939700941e-8
2.148685517442442e-9,1.9657619500725597e-9,1.9848120986138804e-9
1.824603478365477e-9,1.742260713536851e-9,1.7510291860123544e-9
2.232476422251686e-9,1.9858855577254706e-9,2.011052859588781e-9
2.3875879735957077e-9,1.804492413018348e-9,1.859284020448675e-9
1.1843436630971967e-9,1.1579472593504466e-9,1.1599529397254612e-9
2.187447695933327e-9,1.979085130033057e-9,2.0004693679251114e-9
2.375433548977798e-9,1.8450706874773172e-9,1.895803556171947e-9
2.372441879208967e-9,1.8534163091823846e-9,1.903238222356253e-9
1.8190780836837202e-9,1.7377637112709289e-9,1.7465178434411942e-9
2.357373740756051e-9,1.8906618571461427e-9,1.936090010284533e-9
2.3828459376694364e-9,1.8216461097162399e-9,1.8747716172147384e-9
1.9643921627998325e-10,1.9189289214652575e-10,1.9003805146677574e-10
2.350214602373952e-9,1.9049436647980396e-9,1.9486069976831004e-9
2.3297291315099488e-9,1.9369683942720684e-9,1.975898357115644e-9
2.0315517650914096e-9,1.9004513131598885e-9,1.914002548333508e-9
2.3789464482026156e-9,1.8343388635921453e-9,1.8862156276392583e-9
2.3976046736261344e-9,1.7636930272092899e-9,1.8224051760661295e-9
2.382772320755822e-9,1.821575713553785e-9,1.874826759188827e-9
1.621333499346569e-9,1.5645740736516778e-9,1.5715192244081534e-9
2.3926500394112697e-9,1.7848883821028933e-9,1.8416100927808838e-9
4.4614678552187487e-10,4.267077191706416e-10,4.287865198360472e-10
5.897658719155222e-10,4.624917383164873e-10,4.747739197938243e-10
5.856850647984002e-10,4.720654449320707e-10,4.832096997032628e-10
5.034289062316408e-10,4.711069937688094e-10,4.749022897293282e-10
5.738953378080692e-10,4.879737452397053e-10,4.96445208712872e-10
5.710710205028083e-10,4.900143463047034e-10,4.980327037479267e-10
5.906532030032351e-10,4.601325359409301e-10,4.726704652341279e-10
5.621441422879077e-10,4.93498435062486e-10,5.004330312986783e-10
5.657093614845244e-10,4.926203643120541e-10,4.998039497971165e-10
5.78524156903332e-10,4.833581385700224e-10,4.927976952775703e-10
5.758739442526499e-10,4.861537779939338e-10,4.951600986246555e-10
5.825360232446605e-10,4.776712082015299e-10,4.879907643871307e-10
